ingredients,variable,value
vanilla,mackerel,0.0
parmesan_cheese,mackerel,0.0
pork_liver,mackerel,0.0
squid,mackerel,0.0
sesame_seed,mackerel,0.0
fenugreek,mackerel,0.000796178343949
balm,mackerel,0.0
broccoli,mackerel,0.0
feta_cheese,mackerel,0.0
white_wine,mackerel,0.0
oat,mackerel,0.0
nira,mackerel,0.0
lovage,mackerel,0.0
onion,mackerel,0.0031847133758
leaf,mackerel,0.0
truffle,mackerel,0.0
pepper,mackerel,0.000796178343949
champagne_wine,mackerel,0.0
black_bean,mackerel,0.0
cranberry,mackerel,0.0
mandarin_peel,mackerel,0.0
green_tea,mackerel,0.0
cocoa,mackerel,0.0
caviar,mackerel,0.0
sturgeon_caviar,mackerel,0.0
lime_peel_oil,mackerel,0.0
artemisia,mackerel,0.0
lilac_flower_oil,mackerel,0.0
cashew,mackerel,0.0
star_anise,mackerel,0.0
munster_cheese,mackerel,0.0
starch,mackerel,0.00356079460934
condiment,mackerel,0.0
mackerel,black_pepper,0.00548521665393
black_pepper,black_pepper,0.0
peanut_butter,black_pepper,0.0
black_mustard_seed_oil,black_pepper,0.00485500033273
celery_oil,black_pepper,0.022750470306
red_bean,black_pepper,0.0
almond,black_pepper,0.0662589412327
bacon,black_pepper,0.0406884704027
lavender,black_pepper,4.81649166747e-05
litchi,black_pepper,0.0
jasmine,black_pepper,4.81649166747e-05
maple_syrup,black_pepper,0.000385319333398
smoke,black_pepper,0.00174202653864
soybean,black_pepper,0.00810730425041
blueberry,black_pepper,0.0
red_kidney_bean,black_pepper,4.81649166747e-05
pecan,black_pepper,0.000455976574797
smoked_sausage,black_pepper,0.000568740900245
chayote,black_pepper,0.000806048219009
honey,black_pepper,0.0129763481916
cottage_cheese,black_pepper,0.0
hop,black_pepper,0.0
wine,black_pepper,4.81649166747e-05
orange_juice,black_pepper,0.0179966881711
roasted_sesame_seed,black_pepper,0.0699927171455
avocado,black_pepper,0.0163491893142
tomato_juice,black_pepper,0.00269691929102
fig,black_pepper,2.40824583373e-05
savory,black_pepper,0.000711645516657
coffee,black_pepper,0.00514243125973
bread,black_pepper,0.00535664988261
meat,black_pepper,0.0587643879497
thyme,black_pepper,0.0992778474266
citrus_peel,black_pepper,0.0
rosemary,black_pepper,0.00584416828989
prawn,black_pepper,0.0
turnip,black_pepper,0.00645856805739
sweet_potato,black_pepper,0.00458446130464
black_sesame_seed,black_pepper,0.000796178343949
roasted_hazelnut,black_pepper,0.0
raisin,black_pepper,0.0296102901178
garlic,black_pepper,0.0988217803393
cheddar_cheese,black_pepper,0.00900818181968
pimento,black_pepper,0.00053547763036
lettuce,black_pepper,0.00125630395856
tamarind,black_pepper,0.00284141404105
licorice,black_pepper,0.0
cereal,black_pepper,0.000582052413422
hazelnut,black_pepper,0.00467155303814
ginger,black_pepper,0.0245423152215
seed,black_pepper,0.0112392094697
mint,black_pepper,0.0234383030947
goat_cheese,black_pepper,0.0013888319155
watercress,black_pepper,0.002636512416
macadamia_nut,black_pepper,9.63298333494e-05
pineapple,black_pepper,0.000144494750024
armagnac,black_pepper,0.000424246150221
tequila,black_pepper,0.000973035293758
sage,black_pepper,0.0190267392472
fennel,black_pepper,0.00557424244579
chamomile,black_pepper,0.0
shellfish,black_pepper,0.0015923566879
milk_fat,black_pepper,0.00403917642346
celery,black_pepper,0.00969619972143
mung_bean,black_pepper,0.0
rice,black_pepper,0.0286363283936
sour_milk,black_pepper,0.0
watermelon,black_pepper,7.2247375012e-05
sheep_cheese,black_pepper,0.0
bay,black_pepper,0.00674443457851
grape_juice,black_pepper,0.0225737786879
nut,black_pepper,0.0339453343235
yogurt,black_pepper,0.010006612404
lemon_peel,black_pepper,0.00431842287352
huckleberry,black_pepper,0.0
cod,black_pepper,0.00687112978128
lime_juice,black_pepper,0.0538267919131
beef,black_pepper,0.350820399888
shiitake,black_pepper,0.0322809609383
parsley,black_pepper,0.0025408210771
beer,black_pepper,0.000935641322244
horseradish,black_pepper,0.00807963345953
beet,black_pepper,0.00300948629927
basil,black_pepper,0.0126207896893
roasted_beef,black_pepper,0.0
mushroom,black_pepper,0.135936223445
baked_potato,black_pepper,2.40824583373e-05
chervil,black_pepper,0.00677706338485
carnation,black_pepper,0.0
vegetable,black_pepper,0.01634264017
papaya,black_pepper,0.00487546119926
tuna,black_pepper,0.000672718699833
butter,black_pepper,0.408148777691
orange_peel,black_pepper,0.001350559272
kale,black_pepper,0.00289807612269
ham,black_pepper,0.0354016933434
cherry,black_pepper,0.00246132002153
cognac,black_pepper,0.00077624492543
galanga,black_pepper,0.0
okra,black_pepper,0.00659133509059
eel,black_pepper,0.000796178343949
bartlett_pear,black_pepper,0.0
lingonberry,black_pepper,0.000376081233546
plum,black_pepper,0.0168061600591
octopus,black_pepper,0.000796178343949
gin,black_pepper,2.40824583373e-05
whiskey,black_pepper,2.40824583373e-05
cacao,black_pepper,0.0
strawberry_jam,black_pepper,0.0
leek,black_pepper,0.000422171630312
rapeseed,black_pepper,0.000239234449761
caraway,black_pepper,0.014279061206
potato,black_pepper,0.212947029668
cherry_brandy,black_pepper,0.0
lemon_juice,black_pepper,0.245697703291
sunflower_oil,black_pepper,0.00606152100717
anise_seed,black_pepper,0.000478468899522
milk,black_pepper,0.0138262216289
grape,black_pepper,0.00250948493821
camembert_cheese,black_pepper,0.0
melon,black_pepper,2.40824583373e-05
thai_pepper,black_pepper,0.0
yeast,black_pepper,0.052107145868
grape_brandy,black_pepper,0.0
pork,black_pepper,0.190452104513
currant,black_pepper,9.63298333494e-05
frankfurter,black_pepper,2.40824583373e-05
corn,black_pepper,0.100784341462
corn_flake,black_pepper,0.00139872418868
root,black_pepper,7.2247375012e-05
cinnamon,black_pepper,0.0537530507646
carob,black_pepper,0.0
radish,black_pepper,0.0516606062688
raspberry,black_pepper,4.81649166747e-05
sake,black_pepper,0.0621504885982
olive,black_pepper,0.00723526072565
spearmint,black_pepper,0.0
gelatin,black_pepper,0.00043189411646
date,black_pepper,0.000239234449761
mango,black_pepper,4.81649166747e-05
